date,exchange_rate
1982-04-19 12:00:00,1.738900
1982-04-20 12:00:00,1.748400
1982-04-21 12:00:00,1.756700
1982-04-23 12:00:00,1.756600
1982-04-26 12:00:00,1.772600
1982-04-27 12:00:00,1.769900
1982-04-28 12:00:00,1.780200
1982-04-29 12:00:00,1.779800
1982-04-30 12:00:00,1.792600
1982-05-03 12:00:00,1.801700
1982-05-04 12:00:00,1.793800
1982-05-05 12:00:00,1.802800
1982-05-06 12:00:00,1.811200
1982-05-07 12:00:00,1.821300
1982-05-10 12:00:00,1.828200
1982-05-11 12:00:00,1.828000
1982-05-12 12:00:00,1.836300
1982-05-13 12:00:00,1.835600
1982-05-14 12:00:00,1.831400
1982-05-17 12:00:00,1.841200
1982-05-18 12:00:00,1.833100
1982-05-19 12:00:00,1.835000
1982-05-21 12:00:00,1.844000
1982-05-24 12:00:00,1.845800
1982-05-25 12:00:00,1.850100
1982-05-26 12:00:00,1.854000
1982-05-27 12:00:00,1.847600
1982-05-28 12:00:00,1.850400
1982-06-01 12:00:00,1.856000
1982-06-02 12:00:00,1.851400
1982-06-03 12:00:00,1.861700
1982-06-04 12:00:00,1.865800
1982-06-07 12:00:00,1.863200
1982-06-08 12:00:00,1.865500
1982-06-09 12:00:00,1.862200
1982-06-10 12:00:00,1.860600
1982-06-11 12:00:00,1.869000
1982-06-14 12:00:00,1.865600
1982-06-15 12:00:00,1.861700
1982-06-16 12:00:00,1.862400
1982-06-18 12:00:00,1.852500
1982-06-21 12:00:00,1.848400
1982-06-22 12:00:00,1.851100
1982-06-23 12:00:00,1.846600
1982-06-24 12:00:00,1.858000
1982-06-25 12:00:00,1.857800
1982-06-28 12:00:00,1.857900
1982-06-29 12:00:00,1.866300
1982-06-30 12:00:00,1.881800
1982-07-01 12:00:00,1.887100
1982-07-02 12:00:00,1.898400
1982-07-05 12:00:00,1.895000
1982-07-06 12:00:00,1.893900
1982-07-07 12:00:00,1.886800
1982-07-08 12:00:00,1.892900
1982-07-09 12:00:00,1.900400
1982-07-12 12:00:00,1.919200
1982-07-13 12:00:00,1.918900
1982-07-14 12:00:00,1.919700
1982-07-15 12:00:00,1.924500
1982-07-16 12:00:00,1.926900
1982-07-19 12:00:00,1.943000
1982-07-20 12:00:00,1.945700
1982-07-21 12:00:00,1.953500
1982-07-22 12:00:00,1.959600
1982-07-23 12:00:00,1.971300
1982-07-26 12:00:00,1.982500
1982-07-27 12:00:00,1.979500
1982-07-28 12:00:00,1.985000
1982-07-29 12:00:00,1.985800
1982-07-30 12:00:00,1.997900
1982-08-03 12:00:00,2.027700
1982-08-04 12:00:00,2.003900
1982-08-05 12:00:00,2.002300
1982-08-06 12:00:00,1.998400
1982-08-09 12:00:00,1.990100
1982-08-10 12:00:00,2.006600
1982-08-11 12:00:00,2.003300
1982-08-23 12:00:00,2.342500
1982-08-24 12:00:00,2.361100
1982-08-25 12:00:00,2.376300
1982-08-26 12:00:00,2.366500
1982-08-27 12:00:00,2.362600
1982-08-30 12:00:00,2.335500
1982-08-31 12:00:00,2.331200
1982-09-01 12:00:00,2.340300
1982-09-02 12:00:00,2.343400
1982-09-03 12:00:00,2.353700
1982-09-06 12:00:00,2.329300
1982-09-07 12:00:00,2.337300
1982-09-08 12:00:00,2.338400
1982-09-09 12:00:00,2.329000
1982-09-10 12:00:00,2.322500
1982-09-13 12:00:00,2.312000
1982-09-14 12:00:00,2.319400
1982-09-15 12:00:00,2.317500
1982-09-16 12:00:00,2.316700
1982-09-17 12:00:00,2.330500
1982-09-20 12:00:00,2.337300
1982-09-21 12:00:00,2.329700
1982-09-22 12:00:00,2.332000
1982-09-23 12:00:00,2.332000
1982-09-24 12:00:00,2.323500
1982-09-27 12:00:00,2.320900
1982-09-28 12:00:00,2.322200
1982-09-29 12:00:00,2.327200
1982-09-30 12:00:00,2.324100
1982-10-01 12:00:00,2.332300
1982-10-04 12:00:00,2.315300
1982-10-05 12:00:00,2.334300
1982-10-06 12:00:00,2.333600
1982-10-07 12:00:00,0.000000
1982-10-08 12:00:00,2.021100
1982-10-11 12:00:00,2.043200
1982-10-12 12:00:00,2.043400
1982-10-13 12:00:00,2.038100
1982-10-14 12:00:00,2.041400
1982-10-15 12:00:00,2.054900
1982-10-18 12:00:00,2.122600
1982-10-19 12:00:00,2.115900
1982-10-20 12:00:00,2.114100
1982-10-21 12:00:00,2.108100
1982-10-22 12:00:00,2.109400
1982-10-25 12:00:00,2.108300
1982-10-26 12:00:00,2.110700
1982-10-27 12:00:00,2.127300
1982-10-28 12:00:00,2.125700
1982-10-29 12:00:00,2.133300
1982-11-01 12:00:00,2.131000
1982-11-02 12:00:00,2.142800
1982-11-03 12:00:00,2.142200
1982-11-04 12:00:00,2.137200
1982-11-05 12:00:00,2.135300
1982-11-08 12:00:00,2.132800
1982-11-09 12:00:00,2.129500
1982-11-10 12:00:00,2.133600
1982-11-11 12:00:00,2.129800
1982-11-12 12:00:00,2.136000
1982-11-15 12:00:00,2.136500
